date,CHONG HING SECURITIES LTD,CITIBANK N.A.,THE BANK OF EAST ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,ICBC (ASIA) SECURITIES LTD,CHINA CITIC BANK INTERNATIONAL LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK (HONG KONG) LTD
2024-07-18,36.49846813969484,14.504900698680046,10.749597465006575,11.80437460933251,7.7251859389848425,6.004361381982589,6.34864667629968,2.944285493724376,3.4201795962945347
2024-07-22,36.4751214077937,14.485781471100939,10.742721341627913,11.809125001692955,7.7817505108050025,6.000520612148464,6.344585679785543,2.9424021422423543,3.4179918328031245
2024-07-23,36.45628622536221,14.478301240024512,10.737173968282173,11.803026954169646,7.829370573072181,5.997422037118373,6.341309434933744,2.940882731778539,3.4162268352586214
2024-07-24,36.462304903148926,14.475809546114426,10.73532611675976,11.800995670948309,7.832940250117878,5.99638988978849,6.340218105098907,2.9403766102749467,3.4156389077483578
2024-07-26,36.41753773473515,14.458036643232997,10.722145651248258,11.786506812878176,7.946099807556315,5.989027727775313,6.332433802585805,2.936766516638196,3.411445303349788
2024-07-30,36.40412901212062,14.452713279409998,10.718197820455375,11.696255133377516,8.065905467907019,5.986822603087384,6.330102237806432,2.9356852165269127,3.4101892293087466
2024-08-01,36.3345625196462,14.6480390957955,10.697715873812239,11.646954864069366,8.045592047593745,5.975382080793203,6.318005725085525,2.9300752670770907,3.4036725261271354
2024-08-02,36.31922846196488,14.69812457563343,10.689597334474561,11.638115943467675,8.039486215628886,5.970847339447219,6.3132109652863475,2.927851621244773,3.4035375428522183
2024-08-05,36.29316911930603,14.702443702069932,10.69273853267337,11.641535869185667,8.041848663795053,5.972601906464215,6.315066137777168,2.9360583772585236,3.4045376914700434
2024-08-06,36.29405788703113,14.702803743856293,10.69300038252367,11.639372096964491,8.042045597149619,5.9727481669297005,6.31522078470113,2.936130277122549,3.40462106372142
2024-08-07,36.30096841851444,14.700643757606485,10.69142947576345,11.637662158906158,8.040864141679439,5.971870711572281,6.314293016753118,2.935698930752379,3.406569388452249
2024-08-08,36.261015174453625,14.794525164815575,10.679662371198097,11.624853620269624,8.03201427839732,5.965298005156069,6.307343436591473,2.9324678683047556,3.402820080813461
2024-08-09,36.26921425098506,14.803761617775182,10.682797732364465,11.625819952774087,8.034372336618722,5.967049311804265,6.309195161766546,2.903970546930478,3.4038190889811997
2024-08-12,36.26810511783775,14.803308910346743,10.68247104634946,11.6260760399506,8.03657308633874,5.966866836051206,6.309002222999295,2.903881741863731,3.4037149982624735
2024-08-13,36.24682290841667,14.794622293846341,10.676202547203879,11.616808821370432,8.092982451443358,5.963365464551924,6.305300085649916,2.902177737224845,3.4017176902926374
2024-08-14,36.2481523147335,14.793942358955933,10.676594112863077,11.617234885168287,8.088389074694035,5.963584179878731,6.3055313419391785,2.90228417892392,3.4042875528433374
