date,GRANSING SECURITIES CO LTD,ASTRUM CAPITAL MANAGEMENT LTD,BLACK MARBLE SECURITIES LTD,SORRENTO SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,SUNCORP SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,LUK FOOK SECURITIES (HK) LTD,KGI ASIA LTD,TOTAL_CCASS_PCT
2025-01-09,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6879175128380026,0.16218499674405684,0.4763119772920447,0.34479214392875535,0.0582999323888326,3.8530020934723046
2025-01-10,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6879175128380026,0.16218499674405684,0.47656464912594526,0.34479214392875535,0.0582999323888326,3.8532547653062057
2025-01-14,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6816007169904899,0.16218499674405684,0.49147228732607506,0.34479214392875535,0.0582999323888326,3.8618456076588226
2025-01-15,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6816007169904899,0.16218499674405684,0.4960203803362842,0.34479214392875535,0.0582999323888326,3.8663937006690317
2025-01-16,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6818533888243905,0.16218499674405684,0.49652572400408523,0.34479214392875535,0.0582999323888326,3.867151716170733
2025-01-17,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6818533888243905,0.16218499674405684,0.4977890831735878,0.34479214392875535,0.0582999323888326,3.8684150753402355
2025-01-20,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6818533888243905,0.16218499674405684,0.5003158015125928,0.34479214392875535,0.0582999323888326,3.870941793679241
2025-01-22,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6818533888243905,0.16218499674405684,0.5030951916854984,0.34479214392875535,0.0582999323888326,3.873721183852146
2025-01-23,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6816007169904899,0.16218499674405684,0.5030951916854984,0.34479214392875535,0.0582999323888326,3.873468512018246
2025-01-24,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6808427014887884,0.16218499674405684,0.5030951916854984,0.34479214392875535,0.0582999323888326,3.8727104965165444
2025-02-03,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6810953733226889,0.16218499674405684,0.5030951916854984,0.34479214392875535,0.08104039743987813,3.8957036334014905
2025-02-04,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6823587324921915,0.16218499674405684,0.5056219100245034,0.34479214392875535,0.08104039743987813,3.899493710909998
2025-02-05,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6846327789972959,0.16218499674405684,0.5053692381906029,0.34479214392875535,0.08104039743987813,3.9015150855812024
2025-02-06,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6864014818345995,0.16218499674405684,0.5053692381906029,0.34479214392875535,0.08104039743987813,3.903283788418506
2025-02-07,1.4088789427698456,0.9161223750464209,0.7146165875107673,0.0,0.6864014818345995,0.16218499674405684,0.5053692381906029,0.34479214392875535,0.08104039743987813,4.819406163464927
2025-02-10,1.4088789427698456,0.9161223750464209,0.7146165875107673,0.0,0.6866541536685,0.16218499674405684,0.5028425198515979,0.34479214392875535,0.08104039743987813,4.817132116959822
2025-02-11,1.4088789427698456,0.9161223750464209,0.7146165875107673,0.0,0.687154443899623,0.16218499674405684,0.5023371761837968,0.34479214392875535,0.08104039743987813,4.817127063523144
2025-02-12,1.4088789427698456,0.9161223750464209,0.7146165875107673,0.0,0.686649100231822,0.16218499674405684,0.5023371761837968,0.34479214392875535,0.08104039743987813,4.816621719855343
2025-02-13,1.4088789427698456,0.9161223750464209,0.7146165875107673,0.0,0.6863964283979216,0.16218499674405684,0.5023371761837968,0.34479214392875535,0.08104039743987813,4.816369048021443
2025-02-17,1.4088789427698456,0.9161223750464209,0.7146165875107673,0.0,0.6863964283979216,0.16218499674405684,0.5018318325159958,0.34479214392875535,0.08104039743987813,4.815863704353641
2025-02-18,1.4088789427698456,0.9161223750464209,0.7146165875107673,0.0,0.6858910847301205,0.16218499674405684,0.5372058892620667,0.34479214392875535,0.08104039743987813,4.850732417431911
2025-02-20,1.4088789427698456,0.9161223750464209,0.7146165875107673,0.0,0.686649100231822,0.16218499674405684,0.5369532174281662,0.34479214392875535,0.08104039743987813,4.851237761099712
2025-02-21,1.4088789427698456,0.9161223750464209,0.7146165875107673,0.0,0.6914498650759316,0.16218499674405684,0.5351845145908627,0.34479214392875535,0.08104039743987813,4.8542698231065184
2025-02-24,1.4088789427698456,0.9161223750464209,0.7146165875107673,0.0,0.6929658960793347,0.16218499674405684,0.5485761217875895,0.34479214392875535,0.08104039743987813,4.8691774613066485
2025-02-25,1.4088789427698456,0.9161223750464209,0.7146165875107673,0.0,0.6970086454217428,0.16218499674405684,0.549334137289291,0.34479214392875535,0.08104039743987813,4.873978226150758
2025-02-26,1.4088789427698456,0.9161223750464209,0.7146165875107673,0.0,0.6977656502361087,0.16218499674405684,0.549334137289291,0.34479214392875535,0.08104039743987813,4.874735230965124
2025-02-27,1.4088789427698456,0.9161223750464209,0.7146165875107673,0.0,0.6727511386799586,0.16218499674405684,0.5495868091231915,0.34479214392875535,0.08104039743987813,4.849973391242874
2025-02-28,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6708624486230433,0.16233939072271955,0.55010999496519,0.34512037300038034,0.08111754483109396,4.8520612586744996
2025-03-03,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6713638221012148,0.16233939072271955,0.5496021469303997,0.34512037300038034,0.08111754483109396,4.852054784117881
2025-03-04,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6708579973653679,0.16233939072271955,0.5496021469303997,0.34512037300038034,0.08111754483109396,4.8515489593820345
