date,ORIENT SECURITIES (HONG KONG) LTD,CCB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,GET NICE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FOSUN INTERNATIONAL SECURITIES LTD,MIB SECURITIES (HONG KONG) LTD
2024-10-21,36.83541592331903,20.40961933336602,8.65034379085926,10.102099451774285,8.043015248571413,6.931652704102014,5.527985427689956,1.7771908711769295,1.7226772491410918
2024-10-22,36.849727632015444,20.417549107448433,8.616724038019838,10.106024432691479,8.046140211012938,6.934813977400895,5.527792673099519,1.7778813652953929,1.7233465630160583
2024-10-23,36.861461177921065,20.424050383444957,8.563744927131358,10.109242353398749,8.051511785123557,6.958562045147162,5.529084552241607,1.7784474713144864,1.7238953042770617
2024-10-24,36.86715809217793,20.42720690681908,8.54212021383399,10.11080473006665,8.058844447980865,6.96104248021426,5.529939068574019,1.778722329185842,1.7241617311473612
2024-10-25,36.8757931364984,20.431991377500083,8.541778748496846,10.113172887838441,8.060731994582808,6.9415930537974875,5.5312342936854115,1.7791389424248645,1.7245655651756553
2024-10-28,36.875447657062146,20.431799955641395,8.54404090594658,10.1130781402284,8.058782729271236,6.941996456487784,5.531182473031723,1.7791222741482913,1.724549408182447
2024-10-29,36.8861605305958,20.437735701588817,8.50528868055678,10.116016141907993,8.07002680856735,6.947293220065721,5.532789364936501,1.7796391359936339,1.7250504157874047
2024-10-30,36.88737043964374,20.438406083135423,8.499476018956779,10.116347959025394,8.069354338699748,6.951269803981759,5.532970846874894,1.7796975102310642,1.7251069994512016
2024-10-31,36.885469189631934,20.437352646163802,8.505129269699433,10.115826541899496,8.067064172090129,6.951848649260821,5.532685666316818,1.7796057810058032,1.7250180839317706
2024-11-01,36.885469189631934,20.437352646163802,8.504192141852668,10.115826541899496,8.067064172090129,6.952785777107586,5.532685666316818,1.7796057810058032,1.7250180839317706
2024-11-04,36.88875329003628,20.439172287327754,8.475895763407854,10.1167272052438,8.067782423729366,6.973554861495929,5.533178269383366,1.7797642283346127,1.7251716710410419
2024-11-05,36.895842025929625,20.443099985645024,8.469556709138034,10.118671288490507,8.06933277102349,6.963646239693719,5.534241553878076,1.780106237143311,1.7255031890582146
2024-11-06,36.89566909751814,20.443004170165217,8.469517012876686,10.1186238629364,8.069294950585704,6.964082295031751,5.534215615247916,1.7800978939011738,1.725495101737012
2024-11-07,36.89515032200958,20.442716729114704,8.468929239420397,10.118481588941409,8.06918149139946,6.965859123425896,5.534137800816291,1.780072864644007,1.7254708402282548
2024-11-08,36.897917293313874,20.444249841463556,8.453627821400634,10.119240429817655,8.06978664393146,6.974818528690611,5.534552836406476,1.7802063621495878,1.7256002428261474
2024-11-11,36.89242707636476,20.44120784410367,8.462562919267489,10.117734739811407,8.068585901920576,6.978467235312509,5.533729323915334,1.7799414767614863,1.7253434825427623
2024-11-12,36.89225417996301,20.441112046359695,8.465803810258528,10.117687323035959,8.068548088483505,6.9756226300305135,5.533703390086519,1.7799331350637164,1.725335396718555
2024-11-13,36.69141150843162,20.329829945449383,8.417385195981621,10.645229752713815,8.022292147705842,6.904087994749044,5.503577722869064,1.770243119261223,1.7159426128383868
2024-11-14,36.69124049101188,20.329735188804218,8.417345962835824,10.645180135660397,8.022254756075291,6.904521911625084,5.503552070880689,1.770234868218319,1.7159346148882944
2024-11-15,36.68696557357721,20.32736655971897,8.41123878784973,10.643939859628622,8.036233431858712,6.9055816309841545,5.502910848878228,1.770028617140396,1.7157346903639725
2024-11-18,36.67260914471277,20.319412007265438,8.407481422368344,10.639774648277859,8.069891607720868,6.905674482190413,5.50075743698073,1.7693359654170195,1.7150632850665501
2024-11-19,36.66799696420506,20.31685650881104,8.386394586956309,10.638436522565407,8.082384925342435,6.923903835092318,5.500065626749055,1.7691134424757393,1.714847587802642
2024-11-20,36.66748457131519,20.316572604216258,8.38581160196331,10.63828786270709,8.082271983351824,6.925670260810909,5.499988769686922,1.7690887211594868,1.7148236247890076
2024-11-21,36.67226746192313,20.31922268903746,8.369668787213302,10.639675516310763,8.081928664634958,6.932163909123093,5.500706185810167,1.7693194803164884,1.7150473056306352
2024-11-22,36.67414679606176,20.320263982950078,8.364041272595934,10.640220764990643,8.082342837128143,6.933450918821895,5.500988079067309,1.7694101521710435,1.71513519621319
2024-11-25,36.67619719845248,20.321400061672843,8.364042989435658,10.640815645471859,8.073476600143344,6.9380317082422245,5.501295631937491,1.769509077521,1.7152310871231073
