date,GET NICE SECURITIES LTD,CHONG HING BANK LTD,CITIBANK N.A.,DBS BANK (HONG KONG) LTD,PLANETREE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,IMAGI BROKERAGE LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,HANG SENG SECURITIES LTD
2025-01-08,46.871756162507836,15.020474670248662,11.730992785500574,7.41058519320878,6.893744809528038,6.315071118050948,2.4220721120972537,1.239080316276165,1.076969231141042,1.019253601440708
2025-01-09,46.872518070643274,15.020474670248662,11.730992785500574,7.409932129092682,6.893744809528038,6.314962274031598,2.4220721120972537,1.239080316276165,1.076969231141042,1.019253601440708
2025-01-13,46.872262982368326,15.020392926251747,11.730928943427728,7.409891802972342,6.893707292587541,6.314927906924833,2.4226031479008068,1.2390735729887672,1.0769633700899472,1.01924805448796
2025-01-17,46.87493968039041,15.020378702887157,11.730903685345915,7.409884786272235,6.893700764681602,6.3148130837625285,2.4209682039894385,1.2390723996642565,1.0769623502735726,1.0183763427328767
2025-01-21,46.8828510415015,15.020019040551617,11.730622789351148,7.409707356893051,6.89353569530708,6.314553035111464,2.420910234007739,1.239042730127823,1.0769365624554454,1.0118215146931235
2025-01-23,46.8836129265253,15.020019040551617,11.730622789351148,7.409707356893051,6.89353569530708,6.31379115008767,2.420910234007739,1.239042730127823,1.0769365624554454,1.0118215146931235
2025-01-24,46.88595639130295,15.020002692672888,11.730610021671012,7.409699292123164,6.893528192341522,6.31149862553588,2.4209075990745337,1.239041381546291,1.0769353903112375,1.011820413420524
2025-01-27,46.89198939141998,15.019250728718264,11.73002273842729,7.409328331684854,6.893183073580435,6.3078087559449925,2.4207863983471283,1.2389793499690487,1.0768814744357518,1.011769757472252
2025-02-03,46.898686128477394,15.019234382511964,11.730009972053319,7.409320267740012,6.8931755713824465,6.306604705489999,2.4207837636834832,1.2389780015254797,1.0768803024114573,1.0063269047244483
2025-02-04,46.90736767903246,15.01856421868735,11.72948657464534,7.408989661113738,6.892867995324507,6.300011152263404,2.420675747411527,1.2389227178662088,1.0768322516118134,1.0062820020436523
2025-02-06,46.91127757903582,15.018073892802134,11.72855949741132,7.408747772517647,6.892642957061709,6.299805469582948,2.4189643178856897,1.2388822695337645,1.0767970952067596,1.0062491489622094
2025-02-10,46.91678601730918,15.017747026665104,11.728304227064191,7.4085865222280365,6.892492939716384,6.296403627642571,2.417823426950145,1.2388553054460547,1.07677365887868,1.0062272480996515
2025-02-11,46.91766741723599,15.01795948803567,11.728470151525835,7.408691334117841,6.892590450248023,6.294860318187336,2.4178576327519985,1.2388728319695512,1.076788892375885,1.0062414835518705
2025-02-12,46.933027079058995,15.01705901994307,11.720704548785355,7.408247113306111,6.892177174544306,6.29013011130333,2.417712659418405,1.2387985498770429,1.076724328741869,1.0054194150215219
2025-02-13,46.93615162669683,15.017745392370168,11.721240257436282,7.408585715994223,6.892492189646066,6.285738166727797,2.4169525698965537,1.2388551706285653,1.076773541699603,1.0054653689039181
2025-02-14,46.98982252092123,15.03084055639741,11.731460937023233,7.415045849830965,6.898502300579611,6.193129351154001,2.4172084773674976,1.2399354267683196,1.0777124660041735,1.0063421139535578
2025-02-17,47.00072419528428,15.029972919027468,11.730565926717901,7.414617825140329,6.898104092750172,6.186237089303635,2.4159798184145544,1.239863852972527,1.0776502563355892,1.0062840240535462
2025-02-18,47.016069490408114,15.02948184792929,11.721469913340126,7.414375568914217,6.897878712467026,6.185926058410445,2.411108872916318,1.2398233431654133,1.0776150464987064,1.0062511459503432
