date,KGI ASIA LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL
2024-07-15,28.000277241515743,24.921294551207463,11.917880654705371,6.786613181991729,9.359844544180923,7.680322542658715,3.6988629261723567,2.7100342113218336,2.428335400355172,2.4965347458906906
2024-07-16,27.941502804469298,24.895241448080185,11.905421519682603,6.779518352597852,9.36032136477418,7.560055574663246,3.6943547191091373,2.9470694005406086,2.4257967813246446,2.4907180347582445
2024-07-17,27.94314395444263,24.895560787965547,11.905574234648281,6.766777969444343,9.348255453794044,7.5601525501147835,3.7104362908564488,2.947107203620626,2.432241571052081,2.4907499840612206
2024-07-18,27.93534104497239,24.8871808301287,11.901566764764011,6.764500241516935,9.345108788924026,7.5576077687318834,3.7252161270986797,2.9621439798699996,2.4314228675897236,2.489911586403649
2024-07-19,27.931750463827694,24.8825543193815,11.916662141780325,6.763242725316912,9.343371539271653,7.543382169509329,3.724523611840913,2.974093447955924,2.430970867658326,2.489448713457424
2024-07-22,27.93180240215997,24.882315063888168,11.916547558412276,6.763177694092465,9.343281699099364,7.543309636938951,3.7244877990894274,2.974705876962666,2.430947492922487,2.4894247764342223
2024-07-23,27.924604747250136,24.875617777606625,11.91334011849837,6.76135732741541,9.34076687553141,7.5412792911283155,3.723164894817173,2.9985780709588736,2.4302931827727403,2.4909977140209465
2024-07-24,27.936421865450477,24.880720144841327,11.915783725600711,6.7627441845539105,9.342682808766869,7.516225245035502,3.723928572517101,2.9991931248898647,2.430791672837082,2.4915086555071584
2024-07-25,27.940442097464256,24.882873333863323,11.91681492303218,6.763329435561598,9.343491328855626,7.516875702642446,3.713994195641453,2.9994526764492155,2.4310020346720385,2.491724271817861
2024-07-26,27.98879874322014,24.890532136196708,11.920482848705973,6.7686173375040255,9.346367200634226,7.455065575907968,3.705518774709276,3.000375890374273,2.431750282826735,2.4924912099206717
2024-07-29,27.96660778629616,24.874501913722316,11.912805713037626,6.764258152205353,9.340347869880922,7.449623473299412,3.6967240655250144,3.0740608872052015,2.4301841653237997,2.4908859735041955
2024-07-30,27.972191501608044,24.878328149603895,11.905024309470207,6.7652986412709835,9.341143693842675,7.450769386360773,3.691524391266449,3.074533744193839,2.429917056793248,2.4912691255898856
2024-07-31,27.979454239439665,24.88478759254848,11.908115346167628,6.767055192608098,9.31023237270208,7.452703914254089,3.6998553961105087,3.0753320203152246,2.4305479637615157,2.491915962092708
2024-08-01,27.970143417202475,24.875936614247944,11.903879888254346,6.764648298096922,9.306920925320934,7.450053149389005,3.701423315826603,3.1062812792806733,2.4296834706568164,2.491029641724281
2024-08-02,27.95065678249302,24.871712691944794,11.884558285765731,6.763499664006781,9.305340614537876,7.448788133878419,3.7007948158935324,3.154771433864139,2.429270911549577,2.4906066660661317
2024-08-05,27.941883898848197,24.86390619769344,11.880828074779187,6.761376801705336,9.302419943616899,7.446450179815227,3.6996332459681502,3.1851682838694573,2.4285084353324837,2.489824938371628
2024-08-06,27.916275534017522,24.840834027465828,11.86980339966954,6.748703087068574,9.29378787210081,7.447539801568463,3.69620021467564,3.2730865995163385,2.426254929404104,2.4875145345131875
2024-08-07,27.903366890254865,24.82621732298585,11.86281903640957,6.73833624427374,9.256340229930666,7.44315756189559,3.6940253172395474,3.3680571701641395,2.421629381708186,2.4860508451378456
2024-08-08,27.885393970636496,24.82359766778039,11.861567275207458,6.7376252170000805,9.255043746920164,7.442372162082224,3.6808452571163075,3.4063923333959,2.4213738520826715,2.485788517778314
2024-08-09,27.865549492800678,24.81304526523277,11.856524974957154,6.734761082056536,9.219147391987095,7.439208442301773,3.679280545933488,3.4953969671831326,2.420344536672898,2.4767413008744725
2024-08-12,27.853396539866836,24.816455962717914,11.858154723320661,6.705318667871405,9.220414617452127,7.440231004798815,3.679786284458164,3.5284832290169925,2.420677227116017,2.4770817433810635
2024-08-13,27.83978046550186,24.804324490371993,11.851718872443119,6.7020407869317555,9.215907237142961,7.4365938635076665,3.6779874286660283,3.574684601965679,2.419493884140562,2.4774683693283706
2024-08-14,27.833110780347916,24.798382021284915,11.84696291846539,6.7004351527927515,9.21369934618075,7.4348122496135165,3.6771062788243554,3.5997021834322456,2.418914236522323,2.476874832535838
2024-08-15,27.824933663031125,24.791096479950536,11.843482387439002,6.698466625280671,9.21099244427999,7.430073264416842,3.6760259781110958,3.6308977652139687,2.4182035813013742,2.4758278109753973
2024-08-16,27.820277920202795,24.786663898160338,11.8413648044428,6.6972689573514,9.209345543449638,7.428744787175898,3.675049433549793,3.648128303122976,2.417771212964293,2.4753851395800655
2024-08-19,27.816279163995766,24.7816791379164,11.838983428524136,6.695922092756038,9.206535833624775,7.427250818006442,3.6743103570695475,3.6668668613120485,2.41728498335829,2.474887323436557
2024-08-20,27.817661672604842,24.781204503409356,11.838756680770999,6.695793848190204,9.206040293566897,7.42710856656694,3.6742399843367184,3.6671158417599803,2.4172386859762574,2.474839922817809
2024-08-21,27.805399155465842,24.77369187918476,11.835167665143578,6.693763963683989,9.186974601189624,7.424856978040312,3.67312610852372,3.7164241134970264,2.4165058803571284,2.4740896549140197
2024-08-22,27.805859918461124,24.77353376763153,11.835092130308018,6.693721242501276,9.186596855937488,7.424809590849294,3.673102665765286,3.748630687233419,2.41649045764581,2.442162683666757
2024-08-23,27.7735055947561,24.773138497577982,11.834903297437263,6.693614441930198,9.186131173979865,7.424691125518021,3.673044060178332,3.7823961887527346,2.4164519017287756,2.4421237181407323
2024-08-26,27.757650396357676,24.75899613357245,11.828147047702537,6.689793225173197,9.180887041877762,7.420452555401604,3.670947211363133,3.837324407757831,2.4150724098892797,2.4407295709045287
2024-08-27,27.752693827759913,24.75457502223934,11.826034944502545,6.688598656520882,9.15533257895424,7.419127515940693,3.670291705532774,3.878410848192056,2.4146411604176117,2.4402937399399462
2024-08-28,27.748596948105934,24.75860132728476,11.827958436387242,6.679162207627752,9.140556791348986,7.420015309601258,3.670888674537448,3.8984957548008374,2.4150338992094644,2.4406906510963124
2024-08-29,27.74815447677955,24.758206533588012,11.827769831087032,6.679055703584802,9.140411038599938,7.419896992123009,3.670830139578586,3.9000281623719513,2.4149953897578103,2.440651732529305
2024-08-30,27.751364960095714,24.754811827462138,11.826148073766019,6.6781399090064975,9.140433239412003,7.399747378554024,3.670326815981824,3.92436532312676,2.4146642591634984,2.439998213431523
2024-09-02,27.75138326428232,24.75425928898974,11.825884108851376,6.678309713469326,9.140229220853739,7.399582212882752,3.670244892645616,3.9255531836679105,2.414610362777195,2.439943751580029
2024-09-03,27.730965395543244,24.731784006543485,11.815146963278963,6.678617716353265,9.211573984196377,7.39286386602061,3.6669125452848594,3.921989032726017,2.412418051172654,2.437728438880524
2024-09-04,27.734662608345502,24.732808306481235,11.815636303404844,6.67252257586292,9.211955493862485,7.392851464153743,3.66706441537603,3.9221514671513305,2.4125179646952284,2.4378294006666823
2024-09-05,27.64614513793317,24.653871502439355,11.777925722545831,6.970067371326428,9.182554775729274,7.369256567039543,3.6553606758904635,3.909633596234748,2.404818214005099,2.4303664368560898
