date,CINDA INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,BOCI SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,ORIENT SECURITIES (HONG KONG) LTD,CHINA SYSTEM SECURITIES LTD
2024-10-09,73.60901618777217,5.576442044908813,4.2126516797971565,5.115912277479459,3.6027079933152177,2.562139074480292,1.7186409890572654,1.7681087508587021,0.6092536839515175,1.2251273183794036
2024-10-10,73.70876268696993,5.602761827529567,4.126464753914701,5.1122486681645505,3.66006418537439,2.576515069510852,1.5591630197350859,1.8118624909392311,0.61572738588791,1.2264299119737778
2024-10-14,73.82354305750496,5.624250585855542,3.846246336460901,5.165795448183319,3.682174619217602,2.5849035041809647,1.614835315535174,1.813225200731907,0.6166862056391099,1.2283397266905087
2024-10-15,73.79474721076384,5.707360311590934,3.8684414848053543,5.163780461529183,3.6643338117330773,2.589727949078949,1.547858230826185,1.8194442840446277,0.6164456590501834,1.2278605965776628
2024-10-16,73.92044895813868,5.863073081857668,3.935477778755497,5.059624913334523,3.6787910106062296,2.585868207240834,1.319409946725199,1.7897669938832548,0.6175262164163609,1.2300128930417424
2024-10-17,73.93286854590197,5.8439696567564,3.9733940203659666,5.06047499550456,3.67940909489093,2.584476439421888,1.2874900295311131,1.790067697796308,0.6176299687764858,1.2302195510543816
2024-10-18,73.94448193506197,5.800685993306893,3.9758446757164925,5.085745181561468,3.6796217544054275,2.5837865011624954,1.2803862132863775,1.8013079651113058,0.6177269862103464,1.2304127941772258
2024-10-21,74.02344156261901,5.795543621583847,3.978993096040802,5.121528364410058,3.672214461244764,2.586179835280823,1.168754348636526,1.8032314434063546,0.6183866093693259,1.231726657408494
2024-10-22,73.99848737950889,5.676637653969489,4.050265413134275,5.164860142605407,3.6705231832990077,2.584623217860073,1.2029408867172253,1.8024009457315828,0.6181018047519988,1.2311593724220475
2024-10-23,74.00233310582026,5.683117633152695,4.0612126438309515,5.16576648524407,3.6748231816260684,2.584345596899528,1.1654963591619318,1.8027172355795122,0.6288123393219958,1.231375419362992
2024-10-24,74.01586278251305,5.654904231776854,4.061955146016297,5.166710930472789,3.6718384870220557,2.5844524314636708,1.1807013159587143,1.8030468222336389,0.6289273036385843,1.2316005489043487
2024-10-25,73.98069590839754,5.657334182205949,4.065872911612116,5.164256090847166,3.670093900429517,2.583224490453487,1.2166885015166466,1.8021901474853064,0.6286284838115447,1.2310153832407238
2024-10-28,73.98989017109622,5.6671754487086385,4.064916106705957,5.164897900532239,3.6705500168127845,2.5835455315613496,1.1967357201940942,1.80241412225934,0.6287066092650709,1.2311683728643092
2024-10-29,73.998004653875,5.66743140153692,4.065361906688478,5.165464335689409,3.668028029118216,2.5838288694021756,1.1818787117681429,1.8099231370133237,0.6287755596168283,1.231303395291512
2024-10-30,73.95690960051637,5.678898540153858,4.017068308572312,5.199132093497801,3.665990976791162,2.5860475725774728,1.176107252914225,1.8607997014887068,0.6284263668879985,1.2306195866000909
2024-10-31,73.93043829818653,5.695127568865414,4.061284658494068,5.197271174778466,3.664678813316386,2.5851219518680244,1.1475633191253647,1.8601336678247877,0.6282014350399833,1.230179112500972
2024-11-01,73.93286854590197,5.695314779587843,4.061418161392066,5.197442019922764,3.664799278952988,2.5852069302187854,1.1443138333392844,1.8601948142984281,0.6282220853314935,1.2302195510543816
2024-11-04,73.91963912995885,5.694295670095299,4.062517318663496,5.19651199889593,3.678750707974548,2.584744337890751,1.1455697920264603,1.8598619543483463,0.6281096723893885,1.2299994177569409
2024-11-05,73.93016828052487,5.680862718151648,4.063095985673086,5.1972521926779685,3.679274711075145,2.5851125101739045,1.1457329675636532,1.8601268740203014,0.6281991406469505,1.2301746194924759
2024-11-06,73.92974050557383,5.6811947108619,4.063333435214682,5.197555922925805,3.6794897298924787,2.5838025719449855,1.1461651782249596,1.8602355808475843,0.6282358529467592,1.23024651156702
2024-11-07,73.82754027399497,5.7083568997324825,4.075224223290731,5.168850678421956,3.6744032153191095,2.578406989327839,1.2550995119927986,1.856205003351163,0.6273673817575164,1.228545822811434
2024-11-08,73.74496230037711,5.705251022441451,4.107828712514537,5.16306918802727,3.6702933022615984,2.5751586353099105,1.3254707293799455,1.85412879104303,0.626665655451761,1.2271716631933844
2024-11-11,73.72684774748546,5.708667071538364,4.115722610165988,5.216180885220826,3.673945489354474,2.574034656508315,1.2729943575062348,1.8583167988545952,0.6264807710760297,1.2268096122896996
2024-11-12,73.73221888903696,5.709082958828385,4.1160224484121795,5.216560893952362,3.6742131432943705,2.574222179845077,1.2730870975744366,1.8511669899494383,0.626526411395717,1.2268989877110779
2024-11-13,73.66272310320029,5.70370190272281,4.1081398419951505,5.211644061065024,3.670750039463074,2.55178047316444,1.3974382511339776,1.842143861260467,0.6259358833204274,1.2257425826743393
2024-11-14,73.66567199774794,5.705749889415993,4.106120715956074,5.2118526956105375,3.670896988344695,2.550790834685724,1.3949466784634588,1.8422176066741527,0.6259609410271716,1.2257916520742556
2024-11-15,73.65923835037773,5.73145230109492,4.071555599210496,5.2204949893873955,3.670576387770304,2.5505680594323334,1.402466728642062,1.84205671520138,0.6259062722533334,1.225684596630045
2024-11-18,73.506234956615,5.722815339025616,4.071450542624417,5.209651088902053,3.7493800057643885,2.544906930923295,1.5095859177865492,1.8382304344083504,0.6246061531375666,1.2231386308127628
2024-11-20,73.46728341520678,5.719782773437387,4.072922555238988,5.206890453151473,3.739045313695514,2.542106561680811,1.5501623536463085,1.8550409247216773,0.6242751693448023,1.2224904798762577
2024-11-21,73.4606177699163,5.719989656263469,4.072190103517498,5.213676389900945,3.739431907716926,2.5415130000331563,1.5511104615367284,1.8548726179022506,0.624218529209914,1.2223795640028097
2024-11-25,73.46808337393101,5.70750459660264,4.068974402871395,5.221465334377327,3.7398119360737585,2.541045377865679,1.5512680967001733,1.8550611235925563,0.624281966851731,1.222503791133721
2024-11-26,73.36450051120397,5.708156199030561,4.129927037924372,5.236575035205529,3.7860060563918823,2.5374627506557244,1.5407447726092678,1.852445667561978,0.6234017899054201,1.2207801795113
2024-11-27,73.30923405534843,5.703856168901655,4.19852554272531,5.2326302534514,3.7831540075790855,2.5355512461526333,1.5432058077212356,1.8510501955557934,0.6229321730299285,1.2198605495345378
2024-11-28,73.32132831153383,5.686435828045449,4.23407591196151,5.233596933517902,3.7838529103087835,2.5363819025811427,1.509802880599572,1.8513921599674694,0.6230472539902264,1.2200859074941168
2024-11-29,73.33487625198032,5.687486538605736,4.252248840852763,5.259562926661527,3.7443363597479884,2.5390243845177367,1.4872567206685656,1.8517342507520191,0.6231623774786682,1.2203113487346804
2024-12-03,73.33487625198032,5.687486538605736,4.252248840852763,5.259562926661527,3.7461478782871707,2.5390243845177367,1.4854452021293836,1.8517342507520191,0.6231623774786682,1.2203113487346804
2024-12-05,73.32956273748556,5.687074448973814,4.251578464616549,5.259181842445186,3.735008125593537,2.539202695715252,1.5034514463144948,1.8516000824369598,0.623117225942393,1.2202229304762606
2024-12-06,73.32531248024796,5.686744820261532,4.249520756440173,5.258877014830576,3.734791640662691,2.5397800338208425,1.5102471774353292,1.8514927617826737,0.6230811094240264,1.2201522050941893
2024-12-09,73.32690626897269,5.68686842655066,4.249975387761221,5.258991321044999,3.7348728195708296,2.539835238124026,1.510280003956506,1.8515330055700896,0.6205588022973123,1.2201787261516681
2024-12-10,73.31575120265778,5.700853873469771,4.248604429598567,5.264348838660161,3.734304641311306,2.5387244399455806,1.5057037376021942,1.8512513357913916,0.6204643980063889,1.2199931029568705
2024-12-11,73.30141396065514,5.7026361516497674,4.228942398586258,5.263319370339261,3.733574380371798,2.5382279803707086,1.541260990791516,1.850527176443761,0.6203430632579575,1.2197545275338308
2024-12-12,73.26930826910075,5.700500402289844,4.263288118294759,5.261014059989489,3.7319390914875212,2.5371162478647538,1.5478255208831055,1.8497166538149368,0.6200713557700561,1.2192202805047887
2024-12-16,73.2714300911671,5.697045581755413,4.2634115797961485,5.26116641485659,3.7320471655351914,2.537189720774036,1.5496802959956697,1.8486842493926383,0.6200893125532778,1.2192555881739346
2024-12-17,73.27779629478599,5.697540570759373,4.263782007208229,5.26162353240743,3.7323714252383464,2.52835962228798,1.5501769620041708,1.8488448727125875,0.6201431891436582,1.2193615234522297
2024-12-18,73.27806157727753,5.697561197167845,4.263797443080641,5.261642580695872,3.7323849372821183,2.5283687755318547,1.549820550981081,1.848851565956641,0.6201454342047633,1.2193659378216484
2024-12-19,73.27567410399905,5.700633665897118,4.2636585242522616,5.261471151064794,3.73226333241006,2.528286398722755,1.5497700562617573,1.8487913285047408,0.6201252292399884,1.2193262096474775
2024-12-20,73.27726573556515,5.697137299301685,4.265199212153786,5.261585436244297,3.7323444014443,2.5283413159990484,1.5498037190423721,1.8488314863698654,0.6201386990702134,1.2193526948092777
2024-12-23,73.2751435755086,5.699868375119456,4.265075689048626,5.261433057108218,3.7322363101812512,2.5282680934941375,1.5497588356598515,1.8487779429373656,0.6201207394266119,1.2193173815158869
2024-12-30,73.28151042446561,5.7003636344836615,4.265084239770616,5.261890220996782,3.7325606027544125,2.5201608523708963,1.5498934936072124,1.8489385825396016,0.6201746214784292,1.2194233275327757
2025-01-02,73.28787837994487,5.7008589799211355,4.265454863498168,5.2623474643378385,3.7328849516877836,2.511328059216131,1.550390246476856,1.8490992500600896,0.6202285128946413,1.2195292919624816
2025-01-03,73.28469426387194,5.700611296441838,4.269614213047413,5.262118832734455,3.7327227701751537,2.511218950312796,1.5481505524131367,1.8511912475417134,0.6202015660158332,1.2194763074457267
2025-01-06,73.27753101421521,5.7000540872957455,4.269196877437936,5.261604484256906,3.732357913292407,2.5113355103405914,1.5574117580344853,1.8510103019131388,0.6201409440988083,1.219357109114773
2025-01-07,73.32079712175118,5.703419636730729,4.271717589157271,5.269057964592974,3.734561652919059,2.5128183074646953,1.4949403423535819,1.8521032155206845,0.6205071011513655,1.2200770683584528
