date,CMB INTERNATIONAL SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-08-12,43.825147437896554,26.38104471286543,11.637989696662524,8.963052445989382,3.193051225120875,1.4216455100143166,1.6256378422903723,1.511034064691543,1.4413970644689986
2024-08-13,43.82564351283482,26.38126105577597,11.642322162198068,8.969003114248226,3.193077410361189,1.4109962645491014,1.6256511736510566,1.5094063171528034,1.4426389892287625
2024-08-14,43.82730135501575,26.378557024403896,11.643178809005942,8.970133771406019,3.1927501257225654,1.4107149757467086,1.6256212116030269,1.5092516057451053,1.4424911213509835
2024-08-15,43.82995206570394,26.379494359170707,11.643592537333983,8.970862523148757,3.1928635767992035,1.4099450894295982,1.6256789763730215,1.5050684932583351,1.4425423787824498
2024-08-16,43.826358240271304,26.37733137944428,11.642637824015447,8.97012695962726,3.1926017787870116,1.4215820604532854,1.6255456792514125,1.5013919802518407,1.442424097898164
2024-08-19,43.82797516416905,26.378304541239572,11.64375068065617,8.970458414797754,3.1927195662172108,1.4178079458405048,1.6256056519199436,1.5006273947799025,1.4427506403798944
2024-08-20,43.8249805388618,26.376502196092545,11.6429551004285,8.970118799278175,3.1925014179049485,1.4173011107582165,1.6254945794871745,1.5005248617115525,1.4496213954770865
2024-08-21,43.8123020551551,26.367638243635565,11.639042428471406,8.969836500571807,3.1914285622026743,1.416141781406429,1.6249483240904379,1.529527861343303,1.4491342431232759
2024-08-22,43.809779349604966,26.365873371079346,11.638263389166749,8.9726510833272,3.191214949415949,1.416183592923679,1.624839560966643,1.5321574557025937,1.4490372478128752
2024-08-23,43.81247247338322,26.36749416354998,11.638978829516741,8.987546387935751,3.1914111233522116,1.3912715817627581,1.6249394449222905,1.5435900174778834,1.442295978099163
2024-08-26,43.817230581894776,26.368466734685654,11.639408135949429,8.995528165978858,3.191528839291443,1.362087937592879,1.624999381190468,1.5584010458957767,1.4423491775207196
2024-08-27,43.827519568043236,26.374411784258356,11.642715577408886,8.990724164375356,3.192248403206676,1.3327435535301462,1.6253657544792146,1.5715968243079181,1.4426743703902098
2024-08-28,43.828056852338555,26.374159515582647,11.642604215970216,8.990638168975831,3.192217869662125,1.3327308059680747,1.6253502080143385,1.5715817921376134,1.4426605713506
2024-08-29,43.825421969628636,26.372573937259375,11.641904278561391,8.978757104482742,3.1920259578988586,1.3439912436669657,1.6252524941874382,1.5774991737403166,1.4425738405742725
2024-08-30,43.8283301352655,26.374159515582647,11.649436289143878,8.964539649452439,3.192217869662125,1.3153773401069717,1.6253502080143385,1.6079284214214988,1.4426605713506
2024-09-02,43.82292370055971,26.367782325295757,11.655635647423855,8.946525474278706,3.191446001243721,1.3116440753303042,1.6249572033556228,1.6345880972468856,1.4444974752654356
2024-09-03,43.80921871849466,26.359536184843506,11.655541225128486,8.936899293462492,3.1904479229204337,1.3116435748262247,1.6222639703951645,1.6704033802414724,1.444045729687555
2024-09-04,43.80820165986874,26.35892423159631,11.655270634392345,8.935053067337586,3.190373854660933,1.312159374318825,1.622362871045796,1.6758271020234412,1.4418272047560197
2024-09-05,43.81322758588765,26.361948277279684,11.656607793319655,8.927610299131812,3.1907398724922666,1.3093051923379295,1.6225489977402676,1.6760193624385264,1.4419926193722008
2024-09-09,43.81137264559974,26.36083217963927,11.654748558120925,8.930100347624087,3.1906047847056813,1.305152587213425,1.6224803031548451,1.6827770248587899,1.4419315690832368
2024-09-10,43.80760341214783,26.35856427237064,11.653745862576685,8.939710672978936,3.1903302867029906,1.3042209367360813,1.6223407159503267,1.6816763254688802,1.4418075150676386
2024-09-11,43.746611440002376,26.362956446707024,11.662653501433903,8.967287746370692,3.190861897099713,1.3116771827336435,1.6226110494625714,1.6932929701777968,1.442047766012275
2024-09-12,43.741473490300656,26.359860171595585,11.669204654776927,8.967053961116122,3.1904871369207464,1.314117909165768,1.6224204771260367,1.6935037985354728,1.4418784004626848
2024-09-13,43.76203253381077,26.394247320453836,11.721144061280775,8.828488600221075,3.1919867060626257,1.341925243290825,1.6231830351863707,1.6944363982208568,1.4425561014728707
2024-09-16,43.76149440566445,26.430812828473304,11.724962196772784,8.768399517981367,3.1919474551917286,1.3520193538013252,1.6231630754078303,1.7046628038994778,1.4425383628077335
2024-09-17,43.76179336411185,26.43099339165731,11.725042296333864,8.768459419663008,3.1919692611119412,1.3518919593552066,1.6231741641130837,1.7041279260858953,1.4425482175678397
2024-09-19,43.76143461446513,26.43077671613254,11.724946176991894,8.768660797146902,3.191943094043438,1.3524273956467894,1.6231608576849603,1.7041139560164704,1.4425363918718697
2024-09-20,43.760179037020265,26.43001837977115,11.724609771705099,8.76840921186832,3.1918515126821436,1.3552577340085017,1.6231142869045403,1.7040650625771783,1.442495003462806
2024-09-23,43.756412736939964,26.427743631757394,11.723600671658062,8.770796665169051,3.1915768001267333,1.3571903016072693,1.6263899411655145,1.7039183990917164,1.4423708524842926
2024-09-24,43.76334801388593,26.43193235998439,11.741035298728619,8.684330073992335,3.192082656699946,1.400855557605641,1.6368953953970273,1.7069211792151386,1.4425994644909694
2024-09-25,43.76029861272039,26.430090600406935,11.738850929598296,8.692605655691265,3.1918602344901377,1.3996649376757677,1.6367813376077327,1.7073487466957458,1.4424989451137264
2024-09-26,43.76448417396098,26.432618571337418,11.732868481231106,8.619925179333386,3.1921655278018006,1.4436600026504935,1.6369378915788706,1.73251702806964,1.4448231440363086
2024-09-27,43.80372968401825,26.455826252083437,11.712672569778015,8.411277140359427,3.19496823001073,1.4596975201573774,1.638511872432093,1.8772250410599385,1.4460916901007388
2024-09-30,39.652826342829975,23.94883476127128,10.599049170353622,7.626221199867129,2.892208524464913,1.2833680128524512,1.4832441713729185,1.73870484641073,1.3070772023499937
2024-10-02,43.7997165993799,26.45340249797179,11.707497111825028,8.424454186808452,3.1946755225628407,1.3955663518564778,1.6384985066067954,1.94241796336974,1.4437712596189738
2024-10-03,43.84194039487385,26.44942394048641,11.705599593321901,8.455454518388994,3.1941950475005254,1.3256261516823582,1.6382520785528334,1.9421258262229784,1.4473824489701466
2024-10-04,43.90097279455814,26.44808596737928,11.576901581775962,8.483190940877808,3.19403346564218,1.36766860063921,1.64063015100189,1.9231603349223407,1.4653561632031882
2024-10-07,43.87691754177924,26.433593910530323,11.570558093779711,8.51912597818932,3.192283315759173,1.3998504633487456,1.6397311783712898,1.9054359513998709,1.4625035668423263
2024-10-08,43.86930454091548,26.429007467713745,11.565134994259035,8.560683315907951,3.1917294287269513,1.3950990995988102,1.6394466717200333,1.8880277733195834,1.4615667078384096
2024-10-09,43.833016876963654,26.418829086280926,11.559315331653023,8.559844634848226,3.190500224807901,1.437034446292626,1.6407272365740144,1.9010940150431637,1.4596381475364628
2024-10-10,43.83026340491445,26.417169526600926,11.558589206600692,8.582112341856151,3.190299806177884,1.4055355224868715,1.6658876524083557,1.902067068330993,1.4480754706236745
